,thr,dist_pos,k_pos,n_pos,dist_neg,k_neg,n_neg
132,0.2839999999999998,0.0017822024968942973,5161,5263,0.00944036911757856,1597,1647
133,0.2859999999999998,0.0018338283967636254,5224,5327,0.010096054407238403,1659,1712
134,0.2879999999999998,0.0017894147872608227,5371,5477,0.009341052815731353,1701,1754
135,0.2899999999999998,0.0012846119036426405,5406,5516,0.009900451052702862,1774,1830
136,0.2919999999999998,0.0014654305634052797,5469,5579,0.010665848952956046,1814,1873
137,0.29399999999999976,0.0013505425236248652,5597,5710,0.009252748874893265,1911,1970
138,0.29599999999999976,0.0014886632508721578,5684,5798,0.008401313187932915,1961,2020
139,0.29799999999999977,0.0025690800927342635,6097,6213,0.007474754675942477,2020,2079
140,0.29999999999999977,0.0022339531355282183,6204,6324,0.007690861534937401,2077,2138
141,0.30199999999999977,0.002054583049412032,6304,6427,0.006792531587936949,2224,2287
142,0.30399999999999977,0.0017566494184220983,6414,6541,0.006263016633614894,2257,2320
143,0.30599999999999977,0.0021119928988540654,6573,6701,0.008110709057287295,2350,2420
144,0.3079999999999998,0.0023367533252239285,6692,6821,0.0072578919964320756,2504,2576
145,0.3099999999999998,0.001970436890703049,6781,6914,0.007988575748729349,2551,2626
146,0.3119999999999998,0.0020615776106701345,6909,7044,0.00701346703649926,2649,2725
147,0.3139999999999998,0.0020153521901534665,7095,7234,0.006670756570849424,2723,2800
148,0.3159999999999998,0.001988399248228907,7237,7379,0.006086001535133319,2794,2871
149,0.3179999999999998,0.0017408017650025291,7356,7502,0.005682783502811761,2877,2955
150,0.3199999999999998,0.0017623913605853577,7462,7610,0.005373680764593301,2941,3020
151,0.3219999999999998,0.0018548804181927803,7542,7691,0.004213726112482777,3082,3161
152,0.32399999999999973,0.0018277969213366372,7682,7834,0.004891183905784552,3162,3245
153,0.32599999999999973,0.0012392914762541422,7815,7974,0.004938639521727729,3345,3433
154,0.32799999999999974,0.001256789760273602,7920,8081,0.00436845529366795,3434,3523
155,0.32999999999999974,0.0015247620123700083,8074,8236,0.004829856746996724,3629,3724
156,0.33199999999999974,0.0018594451935507737,8194,8356,0.004168788348640401,3708,3803
157,0.33399999999999974,0.0019855775583844967,8438,8604,0.004341188595331045,3812,3910
158,0.33599999999999974,0.0020008531178952156,8543,8711,0.004402837141743139,3918,4019
159,0.33799999999999975,0.002332963405037574,8664,8832,0.004963422134988732,4000,4105
160,0.33999999999999975,0.0021973027542471,8866,9039,0.004446355935828964,4099,4205
161,0.34199999999999975,0.0022482071679602363,9033,9209,0.004272060102884147,4224,4332
162,0.34399999999999975,0.0020107252568140163,9193,9374,0.0037483747585365613,4376,4486
163,0.34599999999999975,0.0021077135587296205,9377,9561,0.004069612096321892,4451,4564
164,0.34799999999999975,0.0021493650199264293,9543,9730,0.004100062422850014,4557,4673
165,0.34999999999999976,0.0020370419008439726,9698,9889,0.0036707642676280313,4720,4838
166,0.35199999999999976,0.0026063749725511614,10136,10331,0.003541856027018058,4841,4961
167,0.35399999999999976,0.0026400689911384168,10300,10498,0.0032738007739160236,4944,5065
168,0.35599999999999976,0.00274231557550425,10442,10642,0.0030418781090191414,5062,5185
169,0.3579999999999997,0.002323535571004399,10614,10821,0.002497025532126229,5247,5372
